Frequency - Plot 0	Amplitude - Plot 0
392	1.00E-05
393	9.55E-06
393	9.35E-06
394	8.44E-06
394	8.08E-06
395	7.55E-06
395	6.98E-06
396	6.51E-06
396	6.19E-06
397	5.77E-06
397	5.58E-06
398	5.04E-06
398	4.90E-06
399	5.05E-06
399	4.62E-06
400	4.15E-06
400	4.23E-06
401	4.17E-06
401	3.99E-06
402	3.86E-06
402	3.84E-06
403	3.54E-06
403	3.60E-06
404	3.38E-06
404	3.28E-06
405	3.06E-06
406	3.02E-06
406	3.08E-06
407	2.97E-06
407	2.74E-06
408	2.72E-06
408	2.69E-06
409	2.37E-06
409	2.48E-06
410	2.12E-06
410	2.22E-06
411	2.09E-06
411	2.17E-06
412	1.95E-06
412	2.04E-06
413	1.94E-06
413	1.75E-06
414	1.93E-06
414	1.84E-06
415	1.78E-06
415	1.80E-06
416	2.03E-06
416	1.70E-06
417	1.78E-06
417	1.97E-06
418	1.83E-06
418	1.82E-06
419	1.64E-06
419	1.72E-06
420	1.68E-06
420	1.78E-06
421	1.90E-06
421	1.88E-06
422	1.86E-06
422	1.82E-06
423	1.93E-06
423	1.88E-06
424	1.83E-06
424	2.11E-06
425	1.94E-06
425	1.92E-06
426	2.09E-06
426	2.03E-06
427	2.05E-06
428	2.08E-06
428	2.11E-06
429	2.00E-06
429	2.24E-06
430	2.36E-06
430	2.29E-06
431	2.29E-06
431	2.35E-06
432	2.49E-06
432	2.44E-06
433	2.43E-06
433	2.40E-06
434	2.58E-06
434	2.65E-06
435	2.59E-06
435	2.74E-06
436	2.86E-06
436	2.67E-06
437	2.69E-06
437	2.94E-06
438	2.97E-06
438	2.91E-06
439	3.10E-06
439	3.07E-06
440	3.28E-06
440	3.30E-06
441	3.26E-06
441	3.33E-06
442	3.43E-06
442	3.48E-06
443	3.42E-06
443	3.53E-06
444	3.57E-06
444	3.65E-06
445	3.74E-06
445	3.70E-06
446	3.57E-06
446	3.64E-06
447	3.85E-06
447	3.80E-06
448	3.69E-06
449	3.80E-06
449	3.88E-06
450	4.29E-06
450	4.20E-06
451	4.27E-06
451	4.57E-06
452	4.37E-06
452	4.67E-06
453	4.58E-06
453	4.78E-06
454	5.06E-06
454	4.92E-06
455	5.29E-06
455	5.59E-06
456	5.22E-06
456	5.64E-06
457	5.68E-06
457	5.81E-06
458	5.93E-06
458	6.32E-06
459	6.20E-06
459	6.85E-06
460	6.63E-06
460	6.75E-06
461	7.13E-06
461	7.10E-06
462	7.14E-06
462	7.82E-06
463	7.54E-06
463	8.25E-06
464	7.89E-06
464	8.66E-06
465	8.56E-06
465	8.86E-06
466	9.28E-06
466	9.19E-06
467	9.65E-06
467	9.47E-06
468	9.68E-06
468	1.00E-05
469	1.03E-05
470	1.04E-05
470	1.04E-05
471	1.09E-05
471	1.09E-05
472	1.12E-05
472	1.11E-05
473	1.18E-05
473	1.15E-05
474	1.23E-05
474	1.24E-05
475	1.26E-05
475	1.32E-05
476	1.33E-05
476	1.39E-05
477	1.40E-05
477	1.47E-05
478	1.53E-05
478	1.56E-05
479	1.64E-05
479	1.74E-05
480	1.75E-05
480	1.86E-05
481	1.95E-05
481	2.04E-05
482	2.19E-05
482	2.18E-05
483	2.37E-05
483	2.50E-05
484	2.68E-05
484	2.83E-05
485	3.12E-05
485	3.36E-05
486	3.52E-05
486	3.75E-05
487	4.14E-05
487	4.47E-05
488	4.97E-05
488	5.46E-05
489	6.07E-05
489	6.67E-05
490	7.40E-05
490	8.26E-05
491	9.20E-05
492	0.00010556
492	0.000119793
493	0.000136344
493	0.000156715
494	0.0001867
494	0.000221759
495	0.000263775
495	0.000325303
496	0.000412748
496	0.000533599
497	0.000717908
497	0.000995921
498	0.00148459
498	0.00245965
499	0.00474101
499	0.0129336
500	0.0999647
500	0.166318
501	0.0154195
501	0.00536267
502	0.00270536
502	0.00162274
503	0.00108432
503	0.000768933
504	0.000583482
504	0.000461195
505	0.000364552
505	0.000298051
506	0.000247728
506	0.00021042
507	0.000177659
507	0.00015415
508	0.000134595
508	0.000119958
509	0.000108064
509	9.57E-05
510	8.53E-05
510	7.64E-05
511	6.95E-05
511	6.29E-05
512	5.77E-05
513	5.24E-05
513	4.90E-05
514	4.57E-05
514	4.15E-05
515	3.94E-05
515	3.60E-05
516	3.33E-05
516	3.08E-05
517	2.90E-05
517	2.72E-05
518	2.58E-05
518	2.45E-05
519	2.29E-05
519	2.18E-05
520	2.04E-05
520	1.96E-05
521	1.81E-05
521	1.73E-05
522	1.68E-05
522	1.59E-05
523	1.52E-05
523	1.43E-05
524	1.40E-05
524	1.32E-05
525	1.26E-05
525	1.24E-05
526	1.20E-05
526	1.14E-05
527	1.09E-05
527	1.05E-05
528	1.02E-05
528	9.60E-06
529	9.25E-06
529	8.96E-06
530	8.58E-06
530	8.45E-06
531	8.11E-06
531	7.92E-06
532	7.60E-06
532	7.43E-06
533	7.30E-06
534	7.20E-06
534	6.80E-06
535	6.41E-06
535	6.52E-06
536	6.29E-06
536	6.22E-06
537	5.85E-06
537	5.54E-06
538	5.59E-06
538	5.28E-06
539	5.33E-06
