Frequency - Plot 0	Amplitude - Plot 0
415	4.61E-07
415	3.99E-07
416	3.82E-07
416	4.29E-07
417	3.95E-07
417	3.58E-07
418	3.75E-07
418	3.85E-07
419	3.45E-07
419	3.32E-07
420	3.73E-07
420	3.94E-07
421	4.30E-07
421	3.82E-07
422	3.84E-07
422	4.08E-07
423	4.10E-07
423	3.85E-07
424	3.94E-07
424	4.43E-07
425	4.30E-07
425	4.59E-07
426	4.41E-07
426	5.02E-07
427	4.76E-07
428	4.93E-07
428	4.94E-07
429	5.65E-07
429	5.63E-07
430	6.25E-07
430	5.94E-07
431	6.48E-07
431	7.41E-07
432	6.34E-07
432	6.82E-07
433	7.07E-07
433	7.56E-07
434	8.61E-07
434	7.71E-07
435	7.35E-07
435	8.39E-07
436	8.43E-07
436	8.74E-07
437	9.02E-07
437	9.49E-07
438	1.04E-06
438	1.00E-06
439	1.03E-06
439	1.01E-06
440	1.12E-06
440	1.18E-06
441	1.26E-06
441	1.37E-06
442	1.33E-06
442	1.43E-06
443	1.42E-06
443	1.69E-06
444	1.82E-06
444	1.74E-06
445	1.81E-06
445	1.91E-06
446	2.09E-06
446	2.03E-06
447	2.04E-06
447	2.05E-06
448	2.20E-06
449	2.16E-06
449	2.21E-06
450	2.35E-06
450	2.39E-06
451	2.44E-06
451	2.54E-06
452	2.65E-06
452	2.92E-06
453	2.86E-06
453	2.83E-06
454	2.97E-06
454	3.23E-06
455	3.21E-06
455	3.31E-06
456	3.62E-06
456	3.75E-06
457	3.68E-06
457	3.70E-06
458	3.93E-06
458	4.14E-06
459	4.56E-06
459	4.56E-06
460	4.89E-06
460	5.28E-06
461	5.25E-06
461	5.65E-06
462	5.66E-06
462	6.03E-06
463	6.66E-06
463	6.77E-06
464	7.05E-06
464	7.36E-06
465	7.88E-06
465	7.89E-06
466	8.55E-06
466	8.82E-06
467	9.12E-06
467	9.85E-06
468	1.04E-05
468	1.02E-05
469	1.06E-05
470	1.14E-05
470	1.20E-05
471	1.22E-05
471	1.27E-05
472	1.36E-05
472	1.36E-05
473	1.38E-05
473	1.51E-05
474	1.53E-05
474	1.61E-05
475	1.71E-05
475	1.78E-05
476	1.80E-05
